ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,CH4_UC,CH4_Qst,CH4_Qff,CH4_Qfm,N2_UC,N2_Qst,N2_Qff,N2_Qfm,CH4_bar,N2_bar,CH4_UC_Z,N2_UC_Z,CH4_Ds,N2_Ds,Sads_CH4_N2,Sdiff_CH4_N2,P_CH4,P_N2,Sperm_N2_CH4
73,MN43122,2335.22998,1.20316,3.13462,5.79078,0.0,0.0,1377.25,0.58977,0.49018,1.0319,19.7308666,0.247796,17.00536,0.2162,15.8011635,0.1888059,13.134647,0.4989397,0.4998287,1.0,0.16667,2.632e-10,6.602e-10,4.772895467160037,0.3986670705846713,11593.174532118173,6081.867555997194,0.52460760761841
74,MN43123,2201.5,1.15841,3.22125,6.41341,0.0,0.0,1380.27002,0.62697,0.54124,0.73004,17.2887879,0.2093751,14.6017023,0.19084,13.9816075,0.1617198,11.3421772,0.4989397,0.4998287,0.72222,0.16667,2.233e-10,9.448e-10,3.825403479354433,0.23634631668077896,7381.201570961472,8149.441574352318,1.1040806156023695
75,MN43124,2201.77002,1.15522,3.40031,6.60998,0.0,0.0,1387.16003,0.63002,0.54537,0.70783,17.1335884,0.2064615,14.4494164,0.18923,13.8927833,0.1550289,11.2600438,0.4989397,0.4998287,0.66667,0.16667,5.324e-10,1.045e-09,3.7405802462611635,0.5094736842105263,17060.97169684259,8936.550257902394,0.5238007785662201
76,MN43220,2263.26001,1.33442,4.74866,6.96529,1221.87,915.65698,1481.64001,0.65465,0.49059,0.16637,13.3381677,0.0650261,10.795431,0.06832,10.6311803,0.0510222,8.1024476,0.4989397,0.4998287,0.14815,0.03704,2.314e-08,1.654e-08,2.4351580796252925,1.3990326481257558,169556.2592791088,49680.46937681363,0.29300286281401117
77,MN43274,6330.75,1.04633,5.13099,8.29151,1630.76001,1558.56006,3983.23999,0.62919,0.60133,1.42655,16.5363541,0.1985018,13.8601418,0.52437,13.993385,0.1549267,11.3607477,0.4989397,0.4998287,1.375,0.5,9.522e-09,1.289e-08,2.720502698476267,0.7387121799844841,213879.66428936218,106236.05741171565,0.4967094827116743
78,MN43278,6365.56982,0.72753,6.38233,10.11934,2101.46997,2888.51001,4604.97998,0.72342,0.99435,0.89249,13.6646754,0.1347288,11.052236,0.34568,10.7211672,0.1014756,8.1419811,0.4989397,0.4998287,0.875,0.25,3.113e-08,2.994e-08,2.5818386947465863,1.039746158984636,435065.07804278797,161779.93870197263,0.37185227421554123
79,MN43281,6351.6499,0.89858,5.53339,8.38816,1687.29004,1877.72998,4184.6001,0.65882,0.73318,1.2358,15.5498434,0.162468,12.9096648,0.38727,11.9687199,0.1265211,9.3644882,0.4989397,0.4998287,1.125,0.375,1.23e-08,1.312e-08,3.1910553360704417,0.9375,238547.62458273815,79596.93713619527,0.33367314923141383
80,MN4344,4526.4502,1.77925,3.36982,4.8989,0.0,0.0,2461.12012,0.54372,0.30559,2.14486,21.7972192,0.2438436,19.0756651,0.37923,17.1076144,0.1812848,14.4486191,0.4989397,0.4998287,2.11111,0.33333,1.646e-10,7.532e-10,5.655828916488674,0.21853425385023897,7774.639466906784,6279.012492936427,0.8076274815910651
81,MN52268,8297.11035,0.7151,5.66306,9.9448,2047.38,2863.07007,5840.16992,0.70388,0.98431,1.91253,16.0103222,0.1996264,13.3329853,0.57202,12.0485566,0.15303,9.417816,0.4989397,0.4998287,1.83333,0.5,1.757e-08,2.116e-08,3.3434670116429497,0.8303402646502837,403703.15205872105,145156.29399555025,0.3595619535178571
82,MN52662,3957.37988,1.01523,3.34666,10.07457,0.0,0.0,2636.44995,0.66621,0.65622,0.68012,14.3529415,0.1913569,11.6838741,0.23795,11.6131878,0.1415175,8.9939598,0.4989397,0.4998287,0.625,0.125,7.468e-10,3.558e-09,2.858247530993906,0.2098931984260821,12793.531768870997,21287.228471966264,1.6639055466889905
83,MN52664,11974.7002,0.67118,5.80949,9.1347,2278.43994,3394.69995,8453.03027,0.70591,1.05175,1.84676,13.7109041,0.1461318,11.0870617,0.66014,10.6656104,0.1085651,8.0793347,0.4989397,0.4998287,1.75,0.625,2.343e-08,2.325e-08,2.7975277971339416,1.007741935483871,360187.5011726288,127535.6994938035,0.35408141337108434
84,MN52671,11959.5996,0.83871,4.93011,7.54974,1751.23999,2088.03003,7603.75977,0.63579,0.75806,2.53743,15.7934524,0.1911085,13.1246333,0.74962,12.2153729,0.1431199,9.5945424,0.4989397,0.4998287,2.5,0.625,1.201e-08,1.348e-08,3.3849550438889042,0.8909495548961424,253998.6236673316,84072.16183431688,0.33099455666511135
85,MN52822,3957.36011,1.76825,2.55002,9.5548,0.0,0.0,2039.81995,0.51545,0.2915,2.8068,19.6953845,0.67785,16.539824,0.57178,15.5032096,0.514481,12.5110181,0.4989397,0.4998287,2.75,0.5,2.337e-10,4.548e-10,4.908881038161531,0.5138522427440633,16522.42805934288,6538.527846851528,0.39573649970618024
86,MN8376,5657.27979,1.26271,6.84541,8.64845,1328.57996,1052.17004,3650.23999,0.64523,0.51099,0.94039,16.4755396,0.1421434,13.8556856,0.28689,12.4332632,0.1058647,9.849688,0.4989397,0.4998287,0.91667,0.25,5.852e-09,8.039e-09,3.277876538045941,0.7279512377161339,96964.87302762034,40564.52777584898,0.41834250393226646
87,M7445,19888.1992,0.82859,5.09001,11.16205,1887.93005,2278.45996,13604.2998,0.68404,0.82554,2.69738,14.5018082,0.1315376,11.89256,0.9418,11.3811688,0.0971079,8.8063503,0.4989397,0.4998287,2.625,0.875,9.059e-09,1.087e-08,2.8640688044170735,0.8333946642134314,122471.96259662729,51218.798548968334,0.41820835939130147
88,M8485,8663.50977,0.80792,5.30946,7.42256,1802.35999,2230.87988,5714.62012,0.65962,0.81645,1.33838,15.5871752,0.1328818,12.9765828,0.50704,12.8217057,0.1087719,10.2352232,0.4989397,0.4998287,1.25,0.5,1.29e-08,1.443e-08,2.63959450930893,0.893970893970894,198648.17434794264,84033.19085142651,0.42302523608517034
89,MM21766,5432.81,0.93159,5.18102,8.93716,1673.14,1796.01,3444.02,0.63393,0.68048,2.17413,18.1371113,0.3349787,15.324422,0.50729,13.4566997,0.2521419,10.7268473,0.4989397,0.4998287,2.11111,0.44444,9.404e-09,1.18e-08,4.28577342348558,0.7969491525423729,375130.8226756385,109635.14641920905,0.29225843303738985
90,MM407,7482.56,0.90328,5.3109,12.12074,1772.09,1961.84,5108.12,0.68267,0.75577,1.48409,15.1415343,0.1930854,12.4707383,0.63195,13.0938096,0.1485881,10.4675109,0.4989397,0.4998287,1.375,0.625,1.467e-08,1.866e-08,2.3484294643563572,0.7861736334405145,290034.0986745797,156812.23219455237,0.540668262494531
91,MM422,5802.97,0.99289,3.56501,9.31115,0.0,0.0,3866.17,0.66624,0.67101,1.28005,16.424233,0.2068693,13.7396532,0.70315,15.9448056,0.1576197,13.3094754,0.4989397,0.4998287,1.25,0.625,1.224e-08,1.002e-08,1.8204508284149894,1.221556886227545,269133.08464806766,120809.56260566779,0.4488841004577517
92,MM480,5813.02,0.90888,4.42349,10.3093,1724.54,1897.43,3991.51,0.68665,0.75549,1.25693,15.9568961,0.1855809,13.2936046,0.43779,13.0065181,0.145512,10.3832955,0.4989397,0.4998287,1.25,0.375,1.484e-08,1.489e-08,2.871079741428539,0.9966420416386836,319854.2870463014,111582.11525856277,0.34885296141867994
93,MM8775,7639.67,0.76159,4.82001,7.84408,2094.39,2750.01,5254.57,0.6878,0.90311,1.48171,14.9790992,0.166132,12.3352567,0.47272,11.5813821,0.1243374,8.9793341,0.4989397,0.4998287,1.33333,0.33333,1.418e-08,1.368e-08,3.134434760534778,1.036549707602339,274140.63388656086,84226.91932072723,0.3072398211334853
94,MN10924,11333.7998,0.87202,6.60394,8.81271,1746.19995,2002.46997,7695.68018,0.679,0.77865,1.45573,15.0811422,0.1460404,12.4573912,0.86028,15.5364258,0.0980502,12.9606651,0.4989397,0.4998287,1.33333,0.83333,9.349e-09,1.044e-08,1.692158367043288,0.8954980842911878,119695.47587813805,78849.49949167922,0.6587508751956163
95,MN11192,9433.23047,1.12511,5.46759,7.52591,923.12701,820.474,5756.91016,0.61028,0.54242,1.86987,16.6248365,0.2810225,13.8661035,2.04781,21.2427041,0.2043002,18.5606934,0.4989397,0.4998287,1.83333,2.0,7.763e-09,4.017e-09,0.9131071730287477,1.932536718944486,153387.39290242305,86769.48684220013,0.5656885171612396
96,MN11196,9432.54004,1.20121,5.32602,6.15268,1233.14001,1026.58997,5615.37988,0.59532,0.4956,1.80533,16.4410029,0.2702228,13.6930695,1.91526,20.783879,0.1985892,18.1075792,0.4989397,0.4998287,1.66667,1.83333,6.933e-09,3.713e-09,0.9426030930526405,1.8672232695933209,132269.01248779515,75017.03098068836,0.5671549939757085
97,MN11238,9564.87012,0.99994,6.28142,7.98659,1574.81995,1574.92004,6136.81982,0.6416,0.64164,1.82179,16.2444322,0.2132949,13.5534267,0.98793,16.3628475,0.1502981,13.7348389,0.4989397,0.4998287,1.66667,0.83333,1.034e-08,8.33e-09,1.8440476551982428,1.241296518607443,196312.88970486363,85610.6925558005,0.43609307918857204
98,MN11430,11868.4003,1.00301,6.44925,8.20005,1270.31006,1266.5,7332.54004,0.61782,0.61597,2.37716,16.8418986,0.2016842,14.1625039,1.14563,16.5960513,0.1386995,13.9796412,0.4989397,0.4998287,2.33333,1.0,6.391e-09,6.547e-09,2.0749805783717257,0.9761722926531236,127597.96019452304,62882.54221076327,0.49281777008738115
99,MN6840,9708.5498,0.86739,6.98085,8.59992,1891.82996,2181.06006,6822.0,0.70268,0.81011,1.04003,13.2058452,0.1331844,10.5949503,0.68877,13.9840391,0.0985699,11.4077587,0.4989397,0.4998287,1.0,0.66667,2.51e-08,1.391e-08,1.5099815613339722,1.8044572250179727,268024.4702067201,98193.57742440193,0.36636049443048185
100,MM23359,10140.6,0.8184,5.19082,14.26005,1772.27,2165.52,6831.14,0.67364,0.82312,2.43755,15.4590783,0.2572076,12.7241601,0.75144,11.7369508,0.1806979,9.0785423,0.4989397,0.4998287,2.375,0.75,1.869e-08,1.762e-08,3.243838496752901,1.0607264472190692,447823.1039209994,129918.42498876809,0.2901110368161957
