ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,C2H6_UC,C2H6_Qst,C2H6_Qff,C2H6_Qfm,C2H4_UC,C2H4_Qst,C2H4_Qff,C2H4_Qfm,C2H6_bar,C2H4_bar,C2H6_UC_Z,C2H4_UC_Z,C2H6_Ds,C2H4_Ds,Sads_C2H6_C2H4,Sdiff_C2H6_C2H4,P_C2H6,P_C2H4,Sperm_C2H4_C2H6
1,MN870,1375.17004,1.07056,4.55376,5.242,1122.93994,1048.93005,772.362,0.56165,0.52463,1.9463,34.7894712,4.6358646,27.675896,1.74825,31.3610054,4.2106954,24.6725994,0.4958603,0.4967872,1.94444,1.72222,2.791e-09,2.888e-09,1.1132847132847132,0.9664127423822715,396197.91616551066,367563.3787421665,0.9277266834200558
2,MN7485,8166.66016,1.16123,5.36351,7.49173,1579.67004,1360.33997,5060.06006,0.6196,0.53357,6.33185,23.9947963,3.1197565,18.3973293,6.6921,21.5912359,2.8062567,16.3072686,0.4958603,0.4967872,6.16667,6.66667,4.428e-09,5.687e-09,0.9461678695775616,0.778617900474767,344343.3265582538,466539.0837454082,1.354866053042216
3,MN52880,3671.87988,1.57753,3.58583,6.12069,0.0,0.0,1970.47998,0.53664,0.34018,3.98398,30.0917048,3.842564,23.7714303,4.17848,27.3773191,3.5067144,21.3928941,0.4958603,0.4967872,3.91667,4.16667,6.41e-09,7.017e-09,0.953451972966246,0.9134957959241841,697563.7380928588,799406.109203173,1.1459972265599003
4,MN52822,3957.36011,1.76825,2.55002,9.5548,0.0,0.0,2039.81995,0.51545,0.2915,6.39651,35.8129032,5.6228726,27.71232,5.39279,32.4828155,5.0279051,24.9771998,0.4958603,0.4967872,6.375,5.375,9.898e-10,9.858e-10,1.1861225821884405,1.0040576181781293,160465.96963535083,134488.04363538747,0.8381094380385036
5,MN52633,5278.2002,1.36314,4.76292,7.41409,1969.87,1445.08997,3549.75,0.67253,0.49337,12.44419,35.9108028,8.8106713,24.622421,13.21642,32.3600158,7.967961,21.9143443,0.4958603,0.4967872,12.375,13.125,3.344e-09,3.273e-09,0.9415704101413243,1.0216926367247174,790759.6479027208,820465.5970565451,1.037566344252152
6,MN4344,4526.4502,1.77925,3.36982,4.8989,0.0,0.0,2461.12012,0.54372,0.30559,7.22682,36.6280586,3.6366415,30.5137065,7.5586,33.5238983,3.1425765,27.9036113,0.4958603,0.4967872,7.22222,7.55556,3.884e-12,5.508e-12,0.956105628026354,0.7051561365286855,621.966021533326,920.7981468173598,1.4804637471148765
7,MN43281,6351.6499,0.89858,5.53339,8.38816,1687.29004,1877.72998,4184.6001,0.65882,0.73318,9.0714,28.03055,5.8713945,19.681445,9.76143,25.6897962,5.3397974,17.8722882,0.4958603,0.4967872,9.0,9.75,3.312e-09,3.664e-09,0.9293105620795313,0.9039301310043668,474433.29796035227,563726.3915527408,1.1882100054449607
8,MN43278,6365.56982,0.72753,6.38233,10.11934,2101.46997,2888.51001,4604.97998,0.72342,0.99435,8.28943,24.2798731,4.810162,16.9920006,8.87827,22.3255805,4.3941142,15.4537557,0.4958603,0.4967872,8.25,8.875,7.665e-09,8.658e-09,0.9336762680116734,0.8853083853083852,1001145.7213768548,1208913.8110419938,1.2075303177437544
9,MN43124,2201.77002,1.15522,3.40031,6.60998,0.0,0.0,1387.16003,0.63002,0.54537,3.33693,32.7102296,4.3835805,25.8489385,2.89212,29.2678139,4.0012293,22.7888741,0.4958603,0.4967872,3.33333,2.88889,3.915e-11,1.299e-10,1.1538006721712792,0.3013856812933025,5951.197124086018,17082.045495992817,2.870354508483244
10,MN43123,2201.5,1.15841,3.22125,6.41341,0.0,0.0,1380.27002,0.62697,0.54124,3.32232,33.7331153,4.3967728,26.858632,3.16565,30.5899414,4.0426931,24.0695378,0.4958603,0.4967872,3.27778,3.11111,4.19e-11,5.055e-11,1.0494906259378012,0.8288822947576656,6342.140988307336,7277.017290618378,1.1474070513466388
