ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,C3H8_UC,C3H8_Qst,C3H8_Qff,C3H8_Qfm,C3H6_UC,C3H6_Qst,C3H6_Qff,C3H6_Qfm,C3H8_bar,C3H6_bar,C3H8_UC_Z,C3H6_UC_Z,C3H8_Ds,C3H6_Ds,Sads_C3H8_C3H6,Sdiff_C3H8_C3H6,P_C3H8,P_C3H6,Sperm_C3H6_C3H8
1,M7436,9385.51953,1.48322,3.65064,7.39899,0.0,0.0,5214.68994,0.55561,0.3746,10.22392,43.7578771,5.979901,35.3002656,7.60214,41.8190107,6.1649161,33.1763841,0.4918288,0.4927727,10.125,7.5,1.425e-10,1.525e-10,1.3448739433896244,0.9344262295081968,15697.010745181458,12466.87692677883,0.7942198122407358
2,M7437,9840.51953,1.12321,4.29133,8.83446,1493.71997,1329.87,6172.06982,0.62721,0.55841,10.94338,31.8582544,6.651298,22.7292458,8.62862,30.7428309,6.3495131,21.9156072,0.4918288,0.4927727,10.875,8.625,3.902e-10,7.69e-10,1.2682653773141013,0.5074122236671001,43879.73282490992,68055.02990573243,1.5509444913278625
3,M7438,7130.33008,1.27034,4.15372,8.51663,1691.80005,1331.77002,4428.93018,0.62114,0.48896,9.34842,31.4541179,6.9239979,22.0524095,5.45546,29.8578063,6.905353,20.4747428,0.4918288,0.4927727,9.25,5.375,1.224e-10,1.058e-10,1.713589688128957,1.1568998109640833,16227.565969347646,8169.92575255882,0.5034597158927621
4,M7439,7134.22021,1.25838,4.68612,9.60106,1845.94995,1466.92004,4529.72998,0.63493,0.50456,13.4422,37.9793808,11.4876907,24.0139795,9.57662,36.2931123,11.0990887,22.7163131,0.4918288,0.4927727,13.375,9.5,1.205e-09,1.541e-09,1.403647633507438,0.781959766385464,229590.55555896164,208775.16207449243,0.909336891346458
5,M7445,19888.1992,0.82859,5.09001,11.16205,1887.93005,2278.45996,13604.2998,0.68404,0.82554,33.13801,36.9571814,9.848027,24.6314439,24.72726,33.9429759,8.9913793,22.473886,0.4918288,0.4927727,8.88889,7.0,9.349e-10,1.169e-09,1.3401408000724706,0.799743370402053,157521.54928318548,146691.92684505062,0.9312498989032553
6,M7760,4499.5,0.83281,4.03132,8.25573,1910.09998,2293.56006,3041.87988,0.67605,0.81177,8.98181,39.0122455,11.6983693,24.8361657,7.07576,36.6257831,10.6854896,23.4625829,0.4918288,0.4927727,5.66667,5.44444,1.627e-09,2.234e-09,1.269377423767906,0.7282900626678603,328421.2573054225,354571.17109404254,1.0796230853117446
7,M8376,3241.06006,0.92649,4.2588,8.53214,1785.41003,1927.07996,2108.02002,0.65041,0.70202,5.67816,41.0263216,10.5557192,27.9928919,5.44547,38.7082267,10.2107165,26.0197996,0.4918288,0.4927727,25.5,18.125,3.115e-09,3.505e-09,1.04273093047983,0.8887303851640513,551850.2473981981,594355.4826895219,1.0770231335253044
8,M8404,11518.5996,0.72414,6.92586,9.15161,2196.87988,3033.77002,8344.95996,0.72448,1.00047,25.61044,34.7866599,13.8129513,18.495998,18.15104,32.8098666,13.4856485,16.8465075,0.4918288,0.4927727,25.75,19.25,6.091e-09,6.432e-09,1.4109626776206765,0.9469838308457711,1369464.7842174452,1022963.3998632056,0.7469804347307542
9,M8411,11944.2998,0.49483,8.11092,11.37845,2075.86011,4195.1499,9368.42969,0.78434,1.58509,25.82463,29.5638241,13.5862325,13.4998811,19.34944,27.6511212,12.9891029,12.1843078,0.4918288,0.4927727,16.375,12.0,2.482e-09,2.678e-09,1.3346448269303917,0.9268110530246452,542645.9087193983,437851.5965019453,0.8068827009775871
10,M8414,8647.95996,0.68648,6.05258,9.21575,2116.97998,3083.83008,6104.25,0.70586,1.02824,16.44948,36.2595832,12.4886168,21.2932559,12.09764,34.2079282,11.7300873,20.0001304,0.4918288,0.4927727,27.0,19.125,3.541e-09,3.851e-09,1.3597263598520042,0.9195014282004674,681094.6142364055,543714.4029702767,0.7982949675499201
11,M8451,11665.2002,0.65241,7.28704,9.68955,2186.13989,3350.86011,8623.34961,0.73924,1.13309,27.02481,33.5460093,14.0776287,16.9906701,19.22105,31.624125,13.1154753,16.0309392,0.4918288,0.4927727,24.75,17.625,3.54e-09,3.814e-09,1.4060007127602288,0.9281594126900892,829312.9780259853,634275.1024831178,0.7648199404679324
12,M8475,12494.5996,0.70487,6.64795,9.09965,2120.91992,3008.95996,8944.23047,0.71585,1.01558,24.77951,32.4256833,13.0839255,16.8640473,17.65117,29.6887353,12.408977,14.8020478,0.4918288,0.4927727,31.33333,22.5,3.771e-09,4.158e-09,1.403845184200254,0.906926406926407,756260.4353790582,592853.5612571066,0.7839277760973339
13,M8591,15317.9003,0.65654,7.21341,10.8582,2006.56006,3056.25,11144.0996,0.72752,1.10811,31.43363,32.1574701,14.1522003,15.5275593,22.6546,30.0023196,13.4828742,14.0417348,0.4918288,0.4927727,28.25,20.75,6.849e-09,7.688e-09,1.3875164425767836,0.8908688865764827,1421231.2259102117,1147572.4868344206,0.8074495310215765
14,MM20589,62042.6992,0.7441,7.97481,10.21147,1771.83997,2381.17993,45742.1992,0.73727,0.99082,123.54063,31.3480271,12.9924065,15.8779101,87.51272,29.3176816,11.9367276,14.9032434,0.4918288,0.4927727,15.16667,11.16667,2.399e-09,2.569e-09,1.411687695228762,0.9338263915920592,483050.6459350886,365725.4734237973,0.7571162082100656
15,MM21740,5427.87988,0.78692,4.84947,8.45318,1726.06006,2193.44995,3545.33008,0.65317,1.18758,10.97045,38.9207858,13.56023,22.8828452,8.68402,36.6949811,13.0219406,21.1953299,0.4918288,0.4927727,7.16667,5.25,1.18e-09,1.316e-09,1.2632916552472242,0.8966565349544073,241167.67111063958,212498.8874763038,0.8811250964844972
16,MM21766,5432.81006,0.93159,5.18102,8.93716,1673.14001,1796.01001,3444.02002,0.63393,1.1043,11.00553,41.2113753,13.5828822,25.1507825,8.28217,38.5651117,12.786047,23.3013542,0.4918288,0.4927727,13.0,9.83333,1.181e-09,1.253e-09,1.3288220357708185,0.942537909018356,241924.34997245064,192788.5564061561,0.7968960397252698
17,MM21817,7545.39014,0.60922,8.24634,9.83869,2014.47998,3306.62988,5628.85986,0.746,1.85711,16.84394,31.624243,14.6246475,14.521885,12.33288,29.3437116,14.160221,12.70578,0.4918288,0.4927727,12.66667,9.16667,7.489e-10,6.698e-10,1.3657750663267623,1.1180949537175275,169055.37885658935,110493.93557115403,0.6535960956609767
18,MM21818,7544.41992,0.70433,8.33783,10.0856,1917.66003,2722.66992,5503.2002,0.72944,1.91286,16.78105,33.1179625,14.7186249,15.921627,11.11613,31.9057258,13.6282704,15.7997448,0.4918288,0.4927727,23.66667,17.5,2.967e-09,2.959e-09,1.5096126079849732,1.002703616086516,667350.5552829441,440030.9734733913,0.6593700566965535
19,MM21874,7550.41016,0.7424,8.15106,10.68811,1919.56995,2585.62988,5526.6001,0.73196,1.18038,17.30006,31.7882772,16.7776414,12.5329253,12.97437,30.2819884,16.1488222,11.6554556,0.4918288,0.4927727,9.44444,9.88889,2.37e-10,3.219e-10,1.3334027008633174,0.7362534948741846,54912.13747419136,55827.343895133476,1.016666741872364
20,MM22110,21847.6992,0.55454,7.49926,12.24992,2068.26001,3729.65991,16906.4003,0.77383,1.9973,47.91131,28.2842546,13.9407591,11.8657849,34.49791,25.7468898,13.4292796,9.8398997,0.4918288,0.4927727,9.0,7.0,6.237e-10,7.389e-10,1.3888177573655913,0.8440925700365408,138309.2703608479,117756.06064668501,0.8513967309599731
21,MM22111,21770.3007,0.55107,7.82288,11.39282,2085.1499,3783.82007,16727.5996,0.76837,2.26727,48.52983,32.0263782,14.0756521,15.4730156,35.24991,31.4838315,13.5871037,15.4190172,0.4918288,0.4927727,9.5,7.16667,7.571e-10,7.906e-10,1.3767362810288026,0.9576271186440678,170663.9831995814,129199.84733135093,0.7570422587656318
