ID,NAME,VOL,DEN,PLD_A,LCD_A,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,C2H6_UC,C2H6_Qst,C2H6_Qff,C2H6_Qfm,C2H4_UC,C2H4_Qst,C2H4_Qff,C2H4_Qfm,C2H6_bar,C2H4_bar,C2H6_UC_Z,C2H4_UC_Z,C2H6_Ds,C2H4_Ds,Sads_C2H6_C2H4,Sdiff_C2H6_C2H4,P_C2H6,P_C2H4,Sperm_C2H4_C2H6
15,M8474,11359.7998,0.72365,7.74624,9.75193,2116.66992,2924.98999,8325.49023,0.73289,1.01277,6.5031,20.1889291,2.1650758,15.5461427,7.53799,17.8581033,1.9988569,13.3815358,0.4958603,0.4967872,6.5,7.5,1.093e-08,1.322e-08,0.8627100858451656,0.8267776096822995,627577.374332707,878218.6124186375,1.3993790221523414
16,M8475,12494.5996,0.70487,6.64795,9.09965,2120.91992,3008.95996,8944.23047,0.71585,1.01558,6.14777,20.1881428,1.8868671,15.8235651,7.04185,17.5769469,1.7484308,13.3508055,0.4958603,0.4967872,6.125,7.0,1.1e-08,1.262e-08,0.8730333648118037,0.8716323296354992,542859.0065073879,712052.1746613148,1.311670555569247
17,M8476,12498.7998,0.59833,6.67528,8.78725,2164.01001,3616.73999,9329.32031,0.74642,1.2475,5.71096,19.9228515,1.8494804,15.5956606,6.92193,18.1328153,1.6524434,14.0026614,0.4958603,0.4967872,5.625,6.875,1.11e-08,1.253e-08,0.825053128246024,0.8858739026336792,508701.55314733944,694701.412442388,1.365636507583408
18,M8484,8662.78027,0.70975,7.23082,8.59467,1990.02002,2803.84009,6183.83984,0.71384,1.00577,4.93685,21.528886,2.1884035,16.8627719,5.94639,19.2817633,2.0262512,14.7778016,0.4958603,0.4967872,4.875,5.875,8.799e-09,9.819e-09,0.830226406273386,0.896119767797128,502948.5955928751,674760.9499616652,1.341610168264329
19,M8591,15317.9003,0.65654,7.21341,10.8582,2006.56006,3056.25,11144.0996,0.72752,1.10811,7.51865,20.3375281,2.0788924,15.7809252,8.80485,18.041368,1.8204288,13.7432286,0.4958603,0.4967872,7.5,8.66667,9.963e-09,1.278e-08,0.8539214183092273,0.7795774647887324,490487.1723989808,735426.7318972561,1.4993801536139506
20,M8592,12454.5996,0.85965,6.61732,8.46141,1833.96997,2133.3999,8375.9502,0.67252,0.78232,12.04151,23.7527496,3.7697652,17.5052738,13.37196,21.6088747,3.4093664,15.7217978,0.4958603,0.4967872,12.0,13.33333,6.891e-09,7.891e-09,0.9005044884968247,0.8732733493853758,668239.3123085229,848173.8417680446,1.2692666027652784
21,M8593,12460.4003,0.84963,7.70031,9.72162,1849.64001,2176.98999,8475.82031,0.68022,0.8006,11.31708,23.3024403,3.550152,17.2745777,12.08458,20.9563131,3.1639554,15.3146471,0.4958603,0.4967872,11.16667,12.0,8.154e-09,8.343e-09,0.9364893111717577,0.977346278317152,742797.5321763376,810043.0592810777,1.090530089549054
22,MM20591,63022.9,0.83491,7.70899,9.9921,1745.54,2090.68,45507.0,0.72207,0.86484,30.06794,20.4354711,1.8963916,16.0613689,35.13351,18.1457717,1.7191515,13.9489097,0.4958603,0.4967872,30.0,35.0,9.944e-09,1.345e-08,0.8558194157088204,0.7393308550185873,475842.89522991196,750639.759840638,1.5774949407996375
23,MM22107,21756.8,0.5496,7.6041,10.24394,2079.38,3783.43,16577.0,0.76192,1.38631,10.59175,19.3758124,2.0287245,14.8693774,12.46953,17.1309925,1.7773545,12.8759274,0.4958603,0.4967872,10.5,12.375,1.415e-08,1.763e-08,0.8494105230910868,0.8026091888825865,690916.0805341622,1011561.932463332,1.4640879854486402
24,MM22108,21820.9,0.56805,7.95142,9.84283,2097.87,3693.13,16597.6,0.76063,1.33902,10.73855,19.3272275,1.9513141,14.8982029,12.78357,17.5156923,1.7845396,13.2534422,0.4958603,0.4967872,10.625,12.75,1.468e-08,1.735e-08,0.840027472763868,0.8461095100864553,724598.7137570389,1017575.0125446755,1.404329035126983
